Fall 2018,,,,,,,,,,,,,,,,,,,,,,
Subject,CatalogNbr,ClassDescr,Section,Instructor,Consent,EnrlCap,TopicDescr,MeetingStartDt,MeetingEndDt,FacilityId,MeetingTimeStart,MeetingTimeEnd,Mon,Tues,Wed,Thurs,Fri,Sat,Sun,UnitsMin,UnitsMax,ClassAssnComponent
CIS,415,Ethics and Computing Tech,A,"Lang,Dennis J",No Special Consent Required,40, ,8/20/2018,12/7/2018,DU1029,2:30 PM,4:20 PM,N,N,N,Y,N,N,N,1,1,REC
CIS,415,Ethics and Computing Tech,ZA,"Lang,Dennis J",No Special Consent Required,70, ,8/20/2018,12/7/2018,DISTANCE,,,N,N,N,N,N,N,N,1,1,REC
CIS,450,Cmptr Arch/Operation,A,"Neilsen,Mitchell L",No Special Consent Required,52, ,8/20/2018,12/7/2018,DUE1114,8:30 AM,9:20 AM,Y,N,Y,N,Y,N,N,3,3,REC
CIS,490,Top/Computer Science,A,"DeLoach,Scott A",Instructor Consent Required,10, ,8/20/2018,12/7/2018, ,12:00 AM,12:00 AM,N,N,N,N,N,N,N,3,3,IND
CIS,490,Top/Computer Science,H,"Hsu,William Henry",No Special Consent Required,20,Top/Intr PRG Big Data Anlytics,8/20/2018,12/7/2018,DUE1116,12:30 PM,1:20 PM,Y,N,Y,N,Y,N,N,3,3,REC
CIS,490,Top/Computer Science,E,"Munir,Arslan",No Special Consent Required,30,Top/Security/Reliab of Cmp Sys,8/20/2018,12/7/2018,BB2103,5:30 PM,6:45 PM,N,Y,N,Y,N,N,N,3,3,REC
CIS,490,Top/Computer Science,D,"Chowdhury,Chandan",No Special Consent Required,25,Top/Cyber Defense Basics I,8/20/2018,12/7/2018,DUE1117,7:30 PM,8:50 PM,Y,N,N,N,N,N,N,1,1,REC
CIS,490,Top/Computer Science,Q,"Amariucai,George",No Special Consent Required,30,Top/Applied Info Security Rsch,8/20/2018,12/7/2018, ,,,N,N,N,N,N,N,N,3,3,IND
CIS,497,Undergraduate Research Exp,A,"DeLoach,Scott A",Instructor Consent Required,100, ,8/20/2018,12/7/2018, ,12:00 AM,12:00 AM,N,N,N,N,N,N,N,0,3,RSH
CIS,499,Honors Res/Thesis,A,"DeLoach,Scott A",No Special Consent Required,10, ,8/20/2018,12/7/2018, ,12:00 AM,12:00 AM,N,N,N,N,N,N,N,2,4,IND
